iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.383167,-0.0073,0.341718,0.007033,1.344057,0.088239,0.019728,0.664956,0.329631,-0.050284,1.317197,4.0,0.0003,0,864,0.27134,0.36649,0.0,nan,0.0,0.0,,,-0.01,0.0052,-0.01244,-0.02409,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.381494,-0.006179,0.113131,0.00327,0.830709,0.02703,0.606819,0.118921,0.900926,-0.514278,2.083994,4.0,0.0002999,0,894,0.26869,0.35714,0.0,nan,0.0,0.0,,,-0.01,0.00667,-0.01263,-0.02214,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.095502,-0.006005,0.068082,0.006023,0.537897,0.076137,0.843202,-0.423047,2.099442,-1.028326,3.05013,4.0,0.0002998,0,907,0.23906,0.33571,0.0,nan,0.0,0.0,,,-0.01,0.00559,-0.01002,-0.01991,-0.00487,0.0
4,4096,-16.85305,450.0,0.0,0.0,1.89382,-0.002683,0.058895,0.002547,0.501272,0.024065,0.902546,-1.151393,3.006357,-1.679147,3.777061,4.0,0.00029969,8,918,0.27216,0.36689,1.0,nan,0.375,0.99391,,,-0.01,0.00645,-0.01043,-0.02464,-0.00384,0.0
5,5120,nan,nan,0.0,0.0,2.190601,-0.005437,0.028374,0.005291,0.28657,0.059501,0.935733,-1.544335,3.735331,-2.011002,4.63788,4.0,0.00029959,0,886,0.2422,0.32425,1.0,nan,0.0,0.0,,,-0.01,0.00547,-0.00625,-0.01881,-0.00231,0.0
6,6144,nan,nan,0.0,0.0,1.662338,-0.004768,0.026504,0.004071,0.328177,0.054548,0.950419,-1.889184,4.605869,-2.341923,5.482181,4.0,0.00029949,0,965,0.25709,0.34272,1.0,nan,0.0,0.0,,,-0.01,0.00561,-0.00601,-0.02591,-0.00272,0.0
7,7168,-14.60265,392.0,0.0,0.0,1.408519,-0.005,0.034589,0.003638,0.327309,0.059256,0.950615,-2.312502,5.366352,-2.651176,6.084855,4.0,0.00029939,2,1008,0.23472,0.31621,0.8,nan,1.0,0.9863,,,-0.01,0.00528,-0.00483,-0.02978,-0.00571,-0.00594
8,8192,-12.59959,403.42857,0.0,0.0,1.996347,-0.003989,0.025958,0.004349,0.243647,0.047154,0.963803,-2.840777,5.989575,-3.148933,6.691857,4.0,0.00029928,7,887,0.23141,0.30845,0.82353,nan,0.14286,0.94271,,,-0.01,0.00801,-0.00397,-0.02105,-0.00822,-0.00221
9,9216,-6.61834,152.0,0.0,0.0,1.230683,-0.003234,0.033086,0.001625,0.238271,0.017578,0.960142,-2.70565,6.437133,-3.071515,6.823417,4.0,0.00029918,1,1014,0.23079,0.30377,0.77778,nan,1.0,1.0,,,-0.01,0.00924,-0.00358,-0.02414,-0.00862,-0.00338
10,10240,-9.02756,314.875,0.0,0.0,1.11034,-0.00308,0.057139,0.003376,0.324669,0.049665,0.899371,-3.676591,6.073656,-3.601722,5.955996,4.0,0.00029908,8,1037,0.24588,0.32501,0.53846,nan,1.0,0.95122,,,-0.01,0.0107,-0.00386,-0.01957,-0.01083,-0.02974
11,11264,-6.25592,142.2,0.0,0.0,1.557529,-0.004609,0.033015,0.005022,0.312782,0.064069,0.943814,-3.3457,6.182169,-3.533448,6.089768,4.0,0.00029898,5,918,0.25545,0.34799,0.45161,nan,1.0,1.0,,,-0.01,0.01202,-0.00456,-0.0151,-0.01848,-0.0135
12,12288,-6.3055,173.66667,0.0,0.0,1.665851,-0.003334,0.031883,0.002556,0.273762,0.034633,0.940654,-3.746992,5.961094,-3.868495,5.963468,4.0,0.00029887,6,908,0.24862,0.32871,0.37838,nan,1.0,0.9375,,,-0.01,0.01019,-0.00091,-0.01651,-0.01737,-0.01495
13,13312,-6.22407,157.16667,0.0,0.0,1.595772,-0.004537,0.027656,0.004056,0.279518,0.061628,0.949966,-4.042321,5.951307,-4.153062,6.181328,4.0,0.00029877,6,880,0.22115,0.301,0.32558,nan,1.0,1.0,,,-0.01,0.00978,-0.00193,-0.0173,-0.01645,-0.01531
