iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,-7.13028,93.875,0.0,0.0,2.218371,0.106188,0.867656,0.004827,1373,0.18838,1.0,1.0,0.35144,4.20141,-0.01,0.03989,-0.04806,-0.03872,-0.01366,-0.00463
2,2048,-8.27617,99.75,0.0,0.0,2.185719,-0.003845,0.896753,0.001382,1448,0.17834,1.0,1.0,0.27778,4.85271,-0.01,0.03001,-0.04327,-0.03952,-0.01466,-0.00417
3,3072,-7.02947,98.4,0.0,0.0,2.194948,-0.004917,0.880216,0.001919,1415,0.18585,1.0,0.98611,0.18427,5.57147,-0.01,0.02827,-0.03901,-0.03549,-0.02073,-0.00534
4,4096,-6.66924,98.6,0.0,0.0,2.127573,0.02718,1.081451,0.002069,1561,0.1825,1.0,0.95385,0.19932,5.89071,-0.01,0.03209,-0.03339,-0.0348,-0.02031,-0.00722
5,5120,-5.26923,96.28571,0.0,0.0,2.134762,-0.007385,0.946225,0.00259,1727,0.17752,1.0,0.96429,0.07767,6.0055,-0.01,0.02219,-0.02773,-0.03408,-0.01402,-0.00511
6,6144,-8.61751,151.14286,0.0,0.0,2.114809,-0.009051,0.775327,0.004878,1878,0.16661,1.0,0.92593,0.13619,7.17477,-0.01,0.01842,-0.01686,-0.03528,-0.01671,-0.00415
7,7168,-6.37474,142.875,0.0,0.0,2.146015,-0.008308,0.490115,0.004386,1612,0.16932,1.0,0.90909,0.13675,8.09791,-0.01,0.02463,-0.01576,-0.03477,-0.01381,-0.00489
8,8192,-5.89072,140.66667,0.0,0.0,2.155827,-0.004197,0.561923,0.002689,1615,0.17066,1.0,1.0,0.12821,6.18631,-0.01,0.02653,-0.00718,-0.0332,-0.02033,-0.00473
9,9216,-4.1928,103.63636,0.0,0.0,2.154932,0.008548,0.393477,0.00524,1552,0.17082,1.0,1.0,0.19128,7.61482,-0.01,0.02814,-0.00774,-0.03277,-0.01598,-0.00687
10,10240,-3.77105,113.33333,0.0,0.0,2.145701,0.033066,0.422802,0.005303,1509,0.16008,1.0,1.0,0.17974,6.17036,-0.01,0.03219,-0.00239,-0.03706,-0.01538,-0.00545
11,11264,-3.58374,99.5,0.0,0.0,2.128425,-0.004399,0.444842,0.002129,1421,0.16903,1.0,1.0,0.22762,5.26234,-0.01,0.04091,-0.00221,-0.03626,-0.01953,-0.00526
12,12288,-3.29581,100.0,0.0,0.0,2.11252,-0.005439,0.416819,0.00346,1510,0.16862,1.0,1.0,0.18158,4.91839,-0.01,0.03347,-0.00185,-0.03271,-0.01923,-0.00557
13,13312,-3.0645,103.0,0.0,0.0,2.093329,-0.002176,0.277221,0.00789,1585,0.17304,1.0,1.0,0.25806,5.83784,-0.01,0.03624,-0.00438,-0.03391,-0.0145,-0.0046
14,14336,-3.00716,101.625,0.0,0.0,2.085043,-0.005939,0.302974,0.004282,1565,0.17483,1.0,1.0,0.24528,5.74566,-0.01,0.03492,-0.00057,-0.03324,-0.01686,-0.00466
15,15360,-3.12086,137.2,0.0,0.0,2.071152,-0.004627,0.362153,0.003542,1557,0.1521,1.0,1.0,0.2681,5.85553,-0.01,0.03562,-0.00381,-0.02977,-0.02026,-0.00568
16,16384,-2.77666,104.75,0.0,0.0,2.080286,-0.00402,0.280028,0.003084,1622,0.14443,1.0,1.0,0.29073,4.70196,-0.01,0.03725,-0.00203,-0.02803,-0.01738,-0.00475
17,17408,-1.45431,107.0,0.0,0.0,2.046897,-0.004529,0.271019,0.003202,1437,0.16167,1.0,1.0,0.4494,4.72746,-0.01,0.03868,-0.00171,-0.0258,-0.01704,-0.00524
18,18432,-2.77522,144.0,0.0,0.0,2.002797,0.061164,0.27302,0.003916,1554,0.16539,1.0,1.0,0.2987,5.5229,-0.01,0.03678,-0.00136,-0.02487,-0.01702,-0.00453
19,19456,-1.93962,102.28571,0.0,0.0,1.96474,-0.005771,0.196291,0.003294,1927,0.15755,1.0,0.0,0.21622,5.73934,-0.01,0.02814,-0.00041,-0.02013,-0.01867,-0.00504
20,20480,-1.69193,97.0,0.0,0.0,1.975827,-0.078939,0.237779,0.006578,2044,0.16222,1.0,0.0,0.32418,5.11577,-0.01,0.02077,-0.00088,-0.01914,-0.01583,-0.00393
21,21504,-4.08386,240.2,0.0,0.0,1.936775,-0.009162,0.169374,0.006051,2124,0.15998,0.8,1.0,0.51691,6.26455,-0.01,0.02332,-0.00443,-0.0172,-0.01273,-0.00256
22,22528,-1.94333,139.25,0.0,0.0,1.969358,-0.070987,0.209963,0.008667,1706,0.15971,0.875,0.0,0.3,4.7763,-0.01,0.03482,-0.00159,-0.01874,-0.01743,-0.0046
23,23552,-2.13393,166.63636,0.0,0.0,1.952151,-0.006368,0.213836,0.006925,1640,0.15389,0.90909,1.0,0.45847,4.35285,-0.01,0.03602,-0.00065,-0.01892,-0.01792,-0.00606
24,24576,-0.94332,92.75,0.0,0.0,1.895024,0.059103,0.179601,0.004609,1564,0.16795,1.0,0.0,0.39344,4.14119,-0.01,0.04304,-0.00099,-0.01743,-0.01501,-0.00456
25,25600,-0.46947,109.57143,0.0,0.0,1.891472,-0.004642,0.166956,0.004108,1606,0.17456,1.0,0.0,0.33456,4.29233,-0.01,0.03816,-0.00245,-0.01597,-0.01507,-0.00414
26,26624,-1.18009,124.58333,0.0,0.0,1.841479,0.126066,0.20859,0.008684,1506,0.17879,0.91667,1.0,0.32143,3.70395,-0.01,0.04206,-0.00142,-0.01496,-0.01846,-0.00661
27,27648,-0.67743,105.22222,0.0,0.0,1.870171,-0.072992,0.161328,0.005065,1480,0.16136,1.0,1.0,0.25,4.50999,-0.01,0.04664,-0.00138,-0.01581,-0.01508,-0.00486
28,28672,-0.47713,102.0,0.0,0.0,1.835099,-0.003196,0.187923,0.002979,1416,0.14875,1.0,1.0,0.47396,4.39797,-0.01,0.04551,-0.00075,-0.01795,-0.0188,-0.00581
29,29696,-0.19708,100.25,0.0,0.0,1.86354,-0.053918,0.206772,0.003889,1452,0.13303,1.0,1.0,0.42678,3.79595,-0.01,0.0474,3e-05,-0.01692,-0.01752,-0.0064
30,30720,-0.4831,103.55556,0.0,0.0,1.847418,-0.005314,0.223979,0.005468,1409,0.13695,1.0,0.0,0.45266,3.54338,-0.01,0.04058,-0.00168,-0.02073,-0.01343,-0.00474
31,31744,-1.19334,99.875,0.0,0.0,1.811185,-0.010448,0.170285,0.008732,1456,0.12188,1.0,1.0,0.3141,3.8215,-0.01,0.03753,-0.00102,-0.01782,-0.01186,-0.00416
32,32768,-1.15955,100.85714,0.0,0.0,1.769135,0.073727,0.24277,0.003671,1744,0.10877,1.0,0.0,0.33976,3.97044,-0.01,0.03024,0.00107,-0.01643,-0.01603,-0.00448
33,33792,-0.01606,103.55556,0.0,0.0,1.728003,-0.006431,0.201025,0.005044,1759,0.1106,1.0,0.0,0.59259,3.16816,-0.01,0.03938,-0.00038,-0.01296,-0.00909,-0.00587
34,34816,8.34497,167.16667,0.16667,0.01,1.721868,-0.002016,22.56305,0.004439,1775,0.10201,0.83333,0.0,0.504,4.00571,-0.01,0.03377,-0.00128,-0.0137,-0.00434,0.06801
35,35840,11.17964,178.4,0.4,0.03,1.782283,0.001186,21.694991,0.001982,1795,0.10964,0.8,0.0,0.39706,4.48859,-0.01,0.03048,7e-05,-0.0106,-0.00518,0.06807
36,36864,18.52504,183.2,0.4,0.05,1.830062,0.003481,43.097691,0.005194,2138,0.11795,0.6,0.0,0.57692,5.11403,-0.01,0.02013,-0.00116,-0.01077,-0.00284,0.14155
37,37888,-0.45941,133.83333,0.0,0.05,1.841376,-0.000419,1.640089,0.004392,1964,0.13314,1.0,1.0,0.22878,5.16612,-0.01,0.02955,-0.0012,-0.01323,-0.00944,-0.00437
38,38912,6.86447,218.22222,0.22222,0.07,1.857735,-0.072854,35.83414,0.003891,1674,0.13376,0.66667,1.0,0.23118,4.59052,-0.01,0.03865,-0.00222,-0.01778,-0.00642,0.08831
39,39936,-0.3223,112.33333,0.0,0.07,1.780233,-0.04011,1.088962,0.005543,1803,0.12604,1.0,1.0,0.21636,5.34312,-0.01,0.02628,-0.00101,-0.01715,-0.00473,-0.00401
40,40960,-1.29076,161.66667,0.0,0.07,1.743783,-0.014437,0.666176,0.004302,1713,0.12249,1.0,1.0,0.32479,5.5194,-0.01,0.03747,-0.00095,-0.0171,-0.00827,-0.00382
41,41984,2.46169,144.0,0.14286,0.08,1.713672,-0.002058,6.412851,0.005001,1517,0.11429,1.0,0.0,0.35021,5.54228,-0.01,0.03725,-0.00015,-0.01824,-0.00492,0.01642
42,43008,12.56681,153.28571,0.28571,0.1,1.736348,0.000709,24.927122,0.004788,1514,0.11582,1.0,1.0,0.33117,4.95035,-0.01,0.04522,-0.00049,-0.01731,-0.00343,0.08775
43,44032,12.27262,109.2,0.6,0.13,1.749887,-0.021909,19.328009,0.004608,1676,0.13092,0.8,0.0,0.36275,3.21847,-0.01,0.0426,-0.00129,-0.02098,0.00318,0.06427
44,45056,25.02867,166.83333,0.5,0.16,1.822675,0.001713,38.024752,0.005039,1536,0.14479,0.66667,0.8,0.45178,3.5942,-0.01,0.03811,-0.00291,-0.02053,0.00013,0.16766
