iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.272284,-0.00797,0.676171,0.005837,867,0.13686,0.0,0.0,,,-0.01,0.0066,-0.03193,-0.01854,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.216341,-0.001841,0.696767,0.000775,891,0.13814,0.0,0.0,,,-0.01,0.00531,-0.03563,-0.01639,-0.00067,0.0
3,3072,-20.65246,375.0,0.0,0.0,2.220183,0.146512,0.593548,0.002873,892,0.14649,0.0,1.0,,,-0.01,0.00482,-0.03175,-0.01813,-0.00128,0.0
4,4096,nan,nan,0.0,0.0,2.247114,-0.085147,0.414844,0.003154,879,0.1361,0.0,0.0,,,-0.01,0.00697,-0.02222,-0.01882,-0.00035,0.0
5,5120,-9.30068,249.0,0.0,0.0,2.15609,-0.007771,0.389298,0.004706,1142,0.15994,1.0,1.0,,,-0.01,0.00639,-0.02158,-0.01109,-0.01369,-0.00038
6,6144,-12.86207,361.71429,0.0,0.0,2.106101,-0.007216,0.252121,0.004026,1355,0.16274,0.42857,0.99333,,,-0.01,0.0091,-0.01615,-0.01663,-0.00624,-0.00093
7,7168,-5.00977,153.0,0.0,0.0,2.220859,0.035282,0.205589,0.005975,968,0.14247,1.0,1.0,,,-0.01,0.01034,-0.00655,-0.01518,-0.00829,-0.00032
8,8192,-7.23467,244.66667,0.0,0.0,2.045044,-0.00838,0.345058,0.007465,1415,0.15065,1.0,1.0,,,-0.01,0.01041,-0.01216,-0.0169,-0.01381,-0.00147
9,9216,-7.08033,332.6,0.0,0.0,2.064447,-0.005306,0.22466,0.005218,1244,0.15673,0.8,0.96774,,,-0.01,0.01018,-0.002,-0.0139,-0.00847,-0.00087
10,10240,-4.49961,209.5,0.0,0.0,1.932421,-0.006032,0.216357,0.006047,1538,0.16175,1.0,1.0,,,-0.01,0.00964,-0.00375,-0.00881,-0.01678,-0.00157
11,11264,1.95706,227.14286,0.14286,0.02778,2.08119,-0.000882,14.412269,0.003575,1080,0.1387,0.85714,1.0,,,-0.01,0.01423,-0.00213,-0.01425,-0.01301,0.05284
12,12288,-3.67788,116.83333,0.0,0.02381,2.040059,-0.078094,0.314127,0.008532,1047,0.1425,1.0,1.0,,,-0.01,0.01324,-0.00248,-0.01337,-0.01935,-0.00213
13,13312,-4.10135,160.0,0.0,0.02041,1.957283,-0.035835,0.24525,0.007474,1240,0.13906,1.0,1.0,,,-0.01,0.01275,-0.00154,-0.01648,-0.01948,-0.00286
14,14336,-1.15727,142.0,0.11111,0.03448,1.937083,0.03073,7.177837,0.003284,1177,0.14158,0.88889,1.0,,,-0.01,0.01466,-0.00189,-0.01314,-0.02865,0.0255
15,15360,-1.76715,116.71429,0.14286,0.04615,1.946374,-0.010965,3.43798,0.001305,1090,0.13784,1.0,1.0,,,-0.01,0.01503,-0.00123,-0.01208,-0.02022,0.01081
16,16384,20.17621,143.125,0.75,0.12329,1.89965,0.003899,71.364726,0.006306,1267,0.15038,0.75,0.875,,,-0.01,0.01765,-0.0031,-0.01476,-0.01168,0.26083
17,17408,3.40481,129.11111,0.44444,0.15854,2.041618,0.002108,19.597644,0.00178,1051,0.14229,1.0,1.0,,,-0.01,0.01596,-0.00433,-0.01399,-0.01664,0.0731
18,18432,17.69815,122.85714,0.57143,0.19101,2.007244,-0.065852,60.498296,0.005479,1030,0.14209,0.57143,1.0,,,-0.01,0.01307,-0.00279,-0.01412,-0.01547,0.17036
